state loaded in 8s
resume: 32106 orbits, 3691 expanded, 1 skipped, 28414 queued; tight range 30..10845; workers 207
tight=30: 30 neighbors, +5 orbits, total 32905, expanded 3819
tight=30: 30 neighbors, +11 orbits, total 32916, expanded 3820
tight=30: 30 neighbors, +6 orbits, total 32922, expanded 3821
tight=30: 30 neighbors, +0 orbits, total 32922, expanded 3822
tight=30: 30 neighbors, +11 orbits, total 32933, expanded 3823
tight=30: 30 neighbors, +6 orbits, total 32939, expanded 3824
tight=30: 30 neighbors, +6 orbits, total 32945, expanded 3825
tight=30: 30 neighbors, +1 orbits, total 32946, expanded 3826
tight=30: 30 neighbors, +6 orbits, total 32952, expanded 3827
tight=30: 30 neighbors, +2 orbits, total 32954, expanded 3828
tight=30: 30 neighbors, +7 orbits, total 32961, expanded 3829
tight=30: 30 neighbors, +3 orbits, total 32964, expanded 3830
tight=30: 30 neighbors, +12 orbits, total 32976, expanded 3831
tight=30: 30 neighbors, +3 orbits, total 32979, expanded 3832
tight=30: 30 neighbors, +4 orbits, total 32983, expanded 3833
tight=30: 30 neighbors, +3 orbits, total 32986, expanded 3834
tight=30: 30 neighbors, +4 orbits, total 32990, expanded 3835
tight=30: 30 neighbors, +3 orbits, total 32993, expanded 3836
tight=30: 30 neighbors, +1 orbits, total 32994, expanded 3837
tight=30: 30 neighbors, +0 orbits, total 32994, expanded 3838
tight=30: 30 neighbors, +4 orbits, total 32998, expanded 3839
tight=30: 30 neighbors, +10 orbits, total 33008, expanded 3840
tight=30: 30 neighbors, +8 orbits, total 33016, expanded 3841
tight=30: 30 neighbors, +7 orbits, total 33023, expanded 3842
tight=30: 30 neighbors, +6 orbits, total 33029, expanded 3843
tight=30: 30 neighbors, +3 orbits, total 33032, expanded 3844
tight=30: 30 neighbors, +5 orbits, total 33037, expanded 3845
tight=30: 30 neighbors, +6 orbits, total 33043, expanded 3846
tight=30: 30 neighbors, +7 orbits, total 33050, expanded 3847
tight=30: 30 neighbors, +5 orbits, total 33055, expanded 3848
tight=30: 30 neighbors, +3 orbits, total 33058, expanded 3849
tight=30: 30 neighbors, +1 orbits, total 33059, expanded 3850
tight=30: 30 neighbors, +3 orbits, total 33062, expanded 3851
tight=30: 30 neighbors, +9 orbits, total 33071, expanded 3852
tight=30: 30 neighbors, +12 orbits, total 33083, expanded 3853
tight=30: 30 neighbors, +7 orbits, total 33090, expanded 3854
tight=30: 30 neighbors, +3 orbits, total 33093, expanded 3855
tight=30: 30 neighbors, +11 orbits, total 33104, expanded 3856
tight=30: 30 neighbors, +4 orbits, total 33108, expanded 3857
tight=30: 30 neighbors, +12 orbits, total 33120, expanded 3858
tight=30: 30 neighbors, +3 orbits, total 33123, expanded 3859
tight=30: 30 neighbors, +4 orbits, total 33127, expanded 3860
tight=30: 30 neighbors, +9 orbits, total 33136, expanded 3861
tight=30: 30 neighbors, +11 orbits, total 33147, expanded 3862
tight=30: 30 neighbors, +7 orbits, total 33154, expanded 3863
tight=30: 30 neighbors, +2 orbits, total 33156, expanded 3864
tight=30: 30 neighbors, +3 orbits, total 33159, expanded 3865
tight=30: 30 neighbors, +8 orbits, total 33167, expanded 3866
tight=30: 30 neighbors, +8 orbits, total 33175, expanded 3867
tight=30: 30 neighbors, +5 orbits, total 33180, expanded 3868
tight=30: 30 neighbors, +5 orbits, total 33185, expanded 3869
tight=30: 30 neighbors, +11 orbits, total 33196, expanded 3870
tight=30: 30 neighbors, +6 orbits, total 33202, expanded 3871
tight=30: 30 neighbors, +4 orbits, total 33206, expanded 3872
tight=30: 30 neighbors, +12 orbits, total 33218, expanded 3873
tight=30: 30 neighbors, +12 orbits, total 33230, expanded 3874
tight=30: 30 neighbors, +11 orbits, total 33241, expanded 3875
tight=30: 30 neighbors, +2 orbits, total 33243, expanded 3876
tight=30: 30 neighbors, +13 orbits, total 33256, expanded 3877
tight=30: 30 neighbors, +6 orbits, total 33262, expanded 3878
tight=30: 30 neighbors, +6 orbits, total 33268, expanded 3879
tight=30: 30 neighbors, +6 orbits, total 33274, expanded 3880
tight=30: 30 neighbors, +5 orbits, total 33279, expanded 3881
tight=30: 30 neighbors, +0 orbits, total 33279, expanded 3882
tight=30: 30 neighbors, +7 orbits, total 33286, expanded 3883
tight=30: 30 neighbors, +17 orbits, total 33303, expanded 3884
tight=30: 30 neighbors, +0 orbits, total 33303, expanded 3885
tight=30: 30 neighbors, +9 orbits, total 33312, expanded 3886
tight=30: 30 neighbors, +6 orbits, total 33318, expanded 3887
tight=30: 30 neighbors, +11 orbits, total 33329, expanded 3888
tight=30: 30 neighbors, +3 orbits, total 33332, expanded 3889
tight=30: 30 neighbors, +4 orbits, total 33336, expanded 3890
tight=30: 30 neighbors, +10 orbits, total 33346, expanded 3891
tight=30: 30 neighbors, +1 orbits, total 33347, expanded 3892
tight=30: 30 neighbors, +0 orbits, total 33347, expanded 3893
tight=30: 30 neighbors, +5 orbits, total 33352, expanded 3894
tight=30: 30 neighbors, +7 orbits, total 33359, expanded 3895
tight=30: 30 neighbors, +8 orbits, total 33367, expanded 3896
tight=30: 30 neighbors, +7 orbits, total 33374, expanded 3897
tight=30: 30 neighbors, +10 orbits, total 33384, expanded 3898
tight=30: 30 neighbors, +2 orbits, total 33386, expanded 3899
tight=30: 30 neighbors, +5 orbits, total 33391, expanded 3900
tight=30: 30 neighbors, +12 orbits, total 33403, expanded 3901
tight=30: 30 neighbors, +9 orbits, total 33412, expanded 3902
